,Airline ID,Name,Alias,IATA,ICAO,Country
0,1,Private flight,\N,-,\N,\N
2,3,1Time Airline,\N,1T,RNX,South Africa
9,10,40-Mile Air,\N,Q5,MLA,United States
12,13,Ansett Australia,\N,AN,AAA,Australia
13,14,Abacus International,\N,1B,\N,Singapore
20,21,Aigle Azur,\N,ZI,AAF,France
21,22,Aloha Airlines,\N,AQ,AAH,United States
23,24,American Airlines,\N,AA,AAL,United States
27,28,Asiana Airlines,\N,OZ,AAR,Republic of Korea
28,29,Askari Aviation,\N,4K,AAS,Pakistan
31,32,Afriqiyah Airways,\N,8U,AAW,Libya
34,35,Allegiant Air,\N,G4,AAY,United States
41,42,ABSA - Aerolinhas Brasileiras,\N,M3,TUS,Brazil
54,55,Astral Aviation,\N,8V,ACP,Kenya
67,68,Air Tindi,\N,8T,\N,Canadian Territories
71,72,Ada Air,\N,ZY,ADE,Albania
82,83,Adria Airways,\N,JP,ADR,Slovenia
89,90,Air Europa,\N,UX,AEA,Spain
92,93,Aero Benin,\N,EM,AEB,Benin
95,96,Aegean Airlines,\N,A3,AEE,Greece
105,106,Air Europe,\N,PE,AEL,Italy
108,109,Alaska Central Express,\N,KO,AER,United States
109,110,ACES Colombia,\N,\N,AES,Colombia
111,112,Astraeus,\N,5W,AEU,United Kingdom
113,114,Aerosvit Airlines,\N,VV,AEW,Ukraine
115,116,Air Italy,\N,I9,AEY,Italy
119,120,Alliance Airlines,\N,QQ,UTY,Australia
124,125,Ariana Afghan Airlines,\N,FG,AFG,Afghanistan
129,130,Aeroflot Russian Airlines,\N,SU,AFL,Russia
131,132,Air Bosna,\N,JA,BON,Bosnia and Herzegovina
136,137,Air France,\N,AF,AFR,France
138,139,Air Caledonie International,\N,SB,ACI,France
145,146,Air Salone,\N,2O,\N,Sierra Leone
148,149,Air Cargo Carriers,\N,2Q,SNC,United States
152,153,Air Namibia,\N,SW,NMB,Namibia
164,165,Aerolitoral,\N,5D,SLI,Mexico
