,Name,IATA code,ICAO code
0,Aerospatiale (Nord) 262,ND2,N262
1,Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210
2,Aerospatiale SN.601 Corvette,NDC,S601
3,Aerospatiale/Alenia ATR 42-300,AT4,AT43
4,Aerospatiale/Alenia ATR 42-500,AT5,AT45
5,Aerospatiale/Alenia ATR 42-600,ATR,AT46
6,Aerospatiale/Alenia ATR 72,AT7,AT72
7,Airbus A300,AB3,A30B
8,Airbus A300-600,AB6,A306
9,Airbus A300-600ST Super Transporter / Beluga,ABB,A3ST
10,Airbus A310,310,A310
11,Airbus A318,318,A318
12,Airbus A319,319,A319
13,Airbus A319neo,31N,A19N
14,Airbus A320,320,A320
15,Airbus A320neo,32N,A20N
16,Airbus A321,321,A321
17,Airbus A321neo,32Q,A21N
18,Airbus A330,330,\N
19,Airbus A330-200,332,A332
20,Airbus A330-300,333,A333
21,Airbus A330-700 Beluga XL,\N,A337
22,Airbus A330-800neo,338,A338
23,Airbus A330-900neo,339,A339
24,Airbus A340,340,\N
25,Airbus A340-200,342,A342
26,Airbus A340-300,343,A343
27,Airbus A340-500,345,A345
28,Airbus A340-600,346,A346
29,Airbus A350,350,\N
30,Airbus A350-1000,351,A35K
31,Airbus A350-900,359,A359
32,Airbus A380,380,\N
33,Airbus A380-800,388,A388
34,Antonov AN-12,ANF,AN12
35,Antonov AN-124 Ruslan,A4F,A124
36,Antonov AN-140,A40,A140
37,Antonov An-148,A81,A148
38,Antonov An-158,A58,A158
39,Antonov An-225 Mriya,A25,A225
40,Antonov AN-24,AN4,AN24
41,Antonov AN-26,A26,AN26
42,Antonov AN-28,A28,AN28
43,Antonov AN-30,A30,AN30
44,Antonov AN-32,A32,AN32
45,Antonov AN-72,AN7,AN72
46,Avro RJ100,AR1,RJ1H
47,Avro RJ70,AR7,RJ70
48,Avro RJ85,AR8,RJ85
49,BAe 146,146,\N
50,BAe 146-100,141,B461
51,BAe 146-200,142,B462
52,BAe 146-300,143,B463
53,Beechcraft 1900,BEH,B190
54,Beechcraft Baron,\N,BE58
55,Beechcraft Baron / 55 Baron,\N,BE55
56,Bell 212,BH2,B212
57,Boeing 707,703,B703
58,Boeing 717,717,B712
59,Boeing 720B,B72,B720
60,Boeing 727,727,\N
61,Boeing 727-100,721,B721
62,Boeing 727-200,722,B722
63,Boeing 737,737,\N
64,Boeing 737 MAX 10,7MJ,\N
65,Boeing 737 MAX 7,7M7,B37M
66,Boeing 737 MAX 8,7M8,B38M
67,Boeing 737 MAX 9,7M9,B39M
68,Boeing 737-200,732,B732
69,Boeing 737-300,733,B733
70,Boeing 737-400,734,B734
71,Boeing 737-500,735,B735
72,Boeing 737-600,736,B736
73,Boeing 737-700,73G,B737
74,Boeing 737-800,738,B738
75,Boeing 737-900,739,B739
76,Boeing 747,747,\N
77,Boeing 747 LCF Dreamlifter,74B,BLCF
78,Boeing 747-100,741,B741
79,Boeing 747-200,742,B742
80,Boeing 747-300,743,B743
81,Boeing 747-400,744,B744
82,Boeing 747-400D,74J,B74D
83,Boeing 747-8,748,B748
84,Boeing 747SP,74L,B74S
85,Boeing 747SR,74R,B74R
86,Boeing 757,757,\N
87,Boeing 757-200,752,B752
88,Boeing 757-300,753,B753
89,Boeing 767,767,\N
90,Boeing 767-200,762,B762
91,Boeing 767-300,763,B763
92,Boeing 767-400,764,B764
93,Boeing 777,777,\N
94,Boeing 777-200,772,B772
95,Boeing 777-200LR,77L,B77L
96,Boeing 777-300,773,B773
97,Boeing 777-300ER,77W,B77W
98,Boeing 777-8,778,B778
99,Boeing 777-9,779,B779
100,Boeing 787,787,\N
101,Boeing 787-10,78J,B78X
102,Boeing 787-8,788,B788
103,Boeing 787-9,789,B789
104,Bombardier 415,\N,CL2T
105,Bombardier BD-100 Challenger 300,\N,CL30
106,Bombardier CS100,CS1,BCS1
107,Bombardier CS300,CS3,BCS3
108,Bombardier Global Express,CCX,GLEX
109,British Aerospace (BAC) One Eleven,B11,BA11
110,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,H25,H25B
111,British Aerospace 125-1000 series / Hawker/Raytheon 1000,H25,H25C
112,British Aerospace ATP,ATP,ATP
113,British Aerospace Jetstream 31,J31,JS31
114,British Aerospace Jetstream 32,J32,JS32
115,British Aerospace Jetstream 41,J41,JS41
116,Canadair Challenger,CCJ,CL60
117,Canadair CL-44,CL4,CL44
118,Canadair Regional Jet 100,CR1,CRJ1
119,Canadair Regional Jet 1000,CRK,CRJX
120,Canadair Regional Jet 200,CR2,CRJ2
121,Canadair Regional Jet 700,CR7,CRJ7
122,Canadair Regional Jet 900,CR9,CRJ9
123,Cessna 152,\N,C152
124,Cessna 172,CN1,C172
125,Cessna 182 Skylane,CN1,C182
126,Cessna 208 Caravan,CN1,C208
127,Cessna 210 Centurion,CN1,C210
128,Cessna Citation CJ3,CNJ,C25B
129,Cessna Citation CJ4,CNJ,C25C
130,Cessna Citation Excel,CNJ,C56X
131,Cessna Citation I,CNJ,C500
132,Cessna Citation II,CNJ,C550
133,Cessna Citation Mustang,CNJ,C510
134,Cessna Citation Sovereign,CNJ,C680
135,Cessna Citation X,CNJ,C750
136,COMAC C-919,\N,C919
137,Concorde,SSC,CONC
138,Dassault Falcon 2000,D20,F2TH
139,Dassault Falcon 50,DF3,FA50
140,Dassault Falcon 7X,DF7,FA7X
