,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops
0,2B,410,AER,2965,KZN,2990,\N,0
1,2B,410,ASF,2966,KZN,2990,\N,0
2,2B,410,ASF,2966,MRV,2962,\N,0
3,2B,410,CEK,2968,KZN,2990,\N,0
4,2B,410,CEK,2968,OVB,4078,\N,0
5,2B,410,DME,4029,KZN,2990,\N,0
6,2B,410,DME,4029,NBC,6969,\N,0
7,2B,410,DME,4029,TGK,\N,\N,0
8,2B,410,DME,4029,UUA,6160,\N,0
9,2B,410,EGO,6156,KGD,2952,\N,0
10,2B,410,EGO,6156,KZN,2990,\N,0
11,2B,410,GYD,2922,NBC,6969,\N,0
12,2B,410,KGD,2952,EGO,6156,\N,0
13,2B,410,KZN,2990,AER,2965,\N,0
14,2B,410,KZN,2990,ASF,2966,\N,0
15,2B,410,KZN,2990,CEK,2968,\N,0
16,2B,410,KZN,2990,DME,4029,\N,0
17,2B,410,KZN,2990,EGO,6156,\N,0
18,2B,410,KZN,2990,LED,2948,\N,0
19,2B,410,KZN,2990,SVX,2975,\N,0
20,2B,410,LED,2948,KZN,2990,\N,0
21,2B,410,LED,2948,NBC,6969,\N,0
22,2B,410,LED,2948,UUA,6160,\N,0
23,2B,410,MRV,2962,ASF,2966,\N,0
24,2B,410,NBC,6969,DME,4029,\N,0
25,2B,410,NBC,6969,GYD,2922,\N,0
26,2B,410,NBC,6969,LED,2948,\N,0
27,2B,410,NBC,6969,SVX,2975,\N,0
28,2B,410,NJC,2972,SVX,2975,\N,0
29,2B,410,NJC,2972,UUA,6160,\N,0
30,2B,410,NUX,4364,SVX,2975,\N,0
31,2B,410,OVB,4078,CEK,2968,\N,0
32,2B,410,OVB,4078,SVX,2975,\N,0
33,2B,410,SVX,2975,KZN,2990,\N,0
34,2B,410,SVX,2975,NBC,6969,\N,0
35,2B,410,SVX,2975,NJC,2972,\N,0
36,2B,410,SVX,2975,NUX,4364,\N,0
37,2B,410,SVX,2975,OVB,4078,\N,0
38,2B,410,TGK,\N,DME,4029,\N,0
39,2B,410,UUA,6160,DME,4029,\N,0
40,2B,410,UUA,6160,LED,2948,\N,0
41,2B,410,UUA,6160,NJC,2972,\N,0
42,2G,1654,BTK,2936,IKT,2937,\N,0
43,2G,1654,BTK,2936,OVB,4078,\N,0
44,2G,1654,CEK,2968,OVB,4078,\N,0
45,2G,1654,HTA,2935,IKT,2937,\N,0
46,2G,1654,IKT,2937,BTK,2936,\N,0
47,2G,1654,IKT,2937,HTA,2935,\N,0
48,2G,1654,IKT,2937,KCK,\N,\N,0
49,2G,1654,IKT,2937,ODO,8944,\N,0
50,2G,1654,IKT,2937,OVB,4078,\N,0
51,2G,1654,IKT,2937,UKX,6924,\N,0
52,2G,1654,IKT,2937,ULK,9026,\N,0
53,2G,1654,IKT,2937,YKS,2923,\N,0
54,2G,1654,KCK,\N,IKT,2937,\N,0
55,2G,1654,MJZ,2925,OVB,4078,\N,0
56,2G,1654,ODO,8944,IKT,2937,\N,0
57,2G,1654,OVB,4078,BTK,2936,\N,0
58,2G,1654,OVB,4078,CEK,2968,\N,0
59,2G,1654,OVB,4078,IKT,2937,\N,0
60,2G,1654,UKX,6924,IKT,2937,\N,0
61,2G,1654,ULK,9026,IKT,2937,\N,0
62,2G,1654,YKS,2923,IKT,2937,\N,0
63,2I,8359,AYP,2786,LIM,2789,\N,0
64,2I,8359,CUZ,2812,LIM,2789,\N,0
65,2I,8359,CUZ,2812,PEM,2808,\N,0
66,2I,8359,HUU,6067,LIM,2789,\N,0
67,2I,8359,IQT,2801,PCL,2781,\N,0
68,2I,8359,IQT,2801,TPP,2806,\N,0
69,2I,8359,LIM,2789,AYP,2786,\N,0
70,2I,8359,LIM,2789,CUZ,2812,\N,0
71,2I,8359,LIM,2789,HUU,6067,\N,0
72,2I,8359,LIM,2789,PCL,2781,\N,0
73,2I,8359,LIM,2789,TPP,2806,\N,0
74,2I,8359,PCL,2781,IQT,2801,\N,0
75,2I,8359,PCL,2781,LIM,2789,\N,0
76,2I,8359,PCL,2781,TPP,2806,\N,0
77,2I,8359,PEM,2808,CUZ,2812,\N,0
78,2I,8359,TPP,2806,IQT,2801,\N,0
79,2I,8359,TPP,2806,LIM,2789,\N,0
80,2I,8359,TPP,2806,PCL,2781,\N,0
81,2J,470,ABJ,253,BOY,247,\N,0
82,2J,470,ABJ,253,OUA,246,\N,0
83,2J,470,ACC,248,OUA,246,\N,0
84,2J,470,BKO,1044,ABJ,253,\N,0
85,2J,470,BKO,1044,DKR,1084,\N,0
86,2J,470,BKO,1044,OUA,246,\N,0
87,2J,470,BOY,247,ABJ,253,\N,0
88,2J,470,BOY,247,OUA,246,\N,0
89,2J,470,COO,245,LFW,298,\N,0
90,2J,470,COO,245,OUA,246,\N,0
91,2J,470,DKR,1084,BKO,1044,\N,0
92,2J,470,DKR,1084,OUA,246,\N,0
93,2J,470,LFW,298,OUA,246,\N,0
94,2J,470,NIM,280,OUA,246,\N,0
95,2J,470,OUA,246,ABJ,253,\N,0
96,2J,470,OUA,246,ACC,248,\N,0
97,2J,470,OUA,246,BKO,1044,\N,0
98,2J,470,OUA,246,BOY,247,\N,0
99,2J,470,OUA,246,COO,245,\N,0
100,2J,470,OUA,246,DKR,1084,\N,0
101,2J,470,OUA,246,LFW,298,\N,0
102,2J,470,OUA,246,NIM,280,\N,0
103,2K,1338,BOG,2709,GYE,2673,\N,0
104,2K,1338,BOG,2709,UIO,2688,\N,0
105,2K,1338,CLO,2715,GYE,2673,\N,0
106,2K,1338,GYE,2673,BOG,2709,\N,0
107,2K,1338,GYE,2673,CLO,2715,\N,0
108,2K,1338,GYE,2673,SCY,6045,\N,0
109,2K,1338,GYE,2673,UIO,2688,\N,0
110,2K,1338,OCC,2670,UIO,2688,\N,0
111,2K,1338,SCY,6045,GYE,2673,\N,0
112,2K,1338,UIO,2688,BOG,2709,\N,0
113,2K,1338,UIO,2688,GYE,2673,\N,0
114,2K,1338,UIO,2688,OCC,2670,\N,0
115,2L,2750,BDS,1506,ZRH,1678,\N,0
116,2L,2750,BOD,1264,ZRH,1678,\N,0
117,2L,2750,BRS,490,ZRH,1678,\N,0
118,2L,2750,GVA,1665,LPA,1054,\N,0
119,2L,2750,LCA,1197,ZRH,1678,\N,0
120,2L,2750,LPA,1054,ZRH,1678,\N,0
121,2L,2750,RMF,4197,ZRH,1678,\N,0
122,2L,2750,TFS,1056,GVA,1665,\N,0
123,2L,2750,ZRH,1678,BDS,1506,\N,0
124,2L,2750,ZRH,1678,BOD,1264,\N,0
125,2L,2750,ZRH,1678,BRS,490,\N,0
126,2L,2750,ZRH,1678,LCA,1197,\N,0
127,2L,2750,ZRH,1678,LPA,1054,\N,0
128,2L,2750,ZRH,1678,RMF,4197,\N,0
129,2N,3652,AJR,730,LYC,719,\N,0
130,2N,3652,ARN,737,GEV,715,\N,0
131,2N,3652,ARN,737,HAD,709,\N,0
132,2N,3652,ARN,737,JKG,688,\N,0
133,2N,3652,ARN,737,KRF,718,\N,0
134,2N,3652,ARN,737,KSD,5595,\N,0
135,2N,3652,ARN,737,LYC,719,\N,0
136,2N,3652,ARN,737,MHQ,442,\N,0
137,2N,3652,ARN,737,OER,722,\N,0
138,2N,3652,ARN,737,POR,448,\N,0
139,2N,3652,ARN,737,TRF,664,\N,0
140,2N,3652,ARN,737,VBY,746,\N,0
141,2N,3652,ARN,737,VHM,729,\N,0
142,2N,3652,ARN,737,VXO,711,\N,0
143,2N,3652,GEV,715,ARN,737,\N,0
144,2N,3652,GEV,715,KRF,718,\N,0
145,2N,3652,HAD,709,ARN,737,\N,0
146,2N,3652,HAD,709,JKG,688,\N,0
147,2N,3652,HAD,709,VXO,711,\N,0
148,2N,3652,HMV,5599,VHM,729,\N,0
149,2N,3652,JKG,688,ARN,737,\N,0
150,2N,3652,JKG,688,HAD,709,\N,0
151,2N,3652,KOK,435,POR,448,\N,0
152,2N,3652,KRF,718,ARN,737,\N,0
153,2N,3652,KRF,718,GEV,715,\N,0
154,2N,3652,KSD,5595,ARN,737,\N,0
155,2N,3652,LYC,719,AJR,730,\N,0
156,2N,3652,LYC,719,ARN,737,\N,0
157,2N,3652,MHQ,442,ARN,737,\N,0
158,2N,3652,MHQ,442,TKU,460,\N,0
159,2N,3652,OER,722,ARN,737,\N,0
160,2N,3652,OSL,644,VXO,711,\N,0
161,2N,3652,POR,448,ARN,737,\N,0
162,2N,3652,POR,448,KOK,435,\N,0
163,2N,3652,TKU,460,MHQ,442,\N,0
164,2N,3652,TRF,664,ARN,737,\N,0
165,2N,3652,VBY,746,ARN,737,\N,0
166,2N,3652,VHM,729,ARN,737,\N,0
167,2N,3652,VHM,729,HMV,5599,\N,0
168,2N,3652,VXO,711,ARN,737,\N,0
169,2N,3652,VXO,711,OSL,644,\N,0
170,2O,146,ADQ,3531,AOS,7167,\N,0
171,2O,146,ADQ,3531,KKB,7168,\N,0
172,2O,146,ADQ,3531,KLN,7162,\N,0
173,2O,146,ADQ,3531,KOZ,7164,\N,0
174,2O,146,ADQ,3531,OLH,7163,\N,0
175,2O,146,AOS,7167,KZB,7176,\N,0
176,2O,146,KKB,7168,SYB,7173,\N,0
177,2O,146,KLN,7162,KYK,7161,\N,0
178,2O,146,KOZ,7164,ORI,7165,\N,0
179,2O,146,SYB,7173,KPR,7172,\N,0
180,2P,897,BSO,6019,MNL,2397,\N,0
181,2P,897,BXU,4200,MNL,2397,\N,0
182,2P,897,CBO,2399,MNL,2397,\N,0
183,2P,897,CGY,2400,MNL,2397,\N,0
184,2P,897,CRM,6024,MNL,2397,\N,0
185,2P,897,DGT,2425,MNL,2397,\N,0
186,2P,897,DWC,8076,MNL,2397,\N,0
187,2P,897,GES,2402,MNL,2397,Y,0
188,2P,897,KLO,2430,MNL,2397,\N,0
189,2P,897,LGP,4203,MNL,2397,\N,0
190,2P,897,MNL,2397,BSO,6019,\N,0
191,2P,897,MNL,2397,BXU,4200,\N,0
192,2P,897,MNL,2397,CBO,2399,\N,0
193,2P,897,MNL,2397,CGY,2400,\N,0
194,2P,897,MNL,2397,CRM,6024,\N,0
195,2P,897,MNL,2397,DGT,2425,\N,0
196,2P,897,MNL,2397,DWC,8076,\N,0
197,2P,897,MNL,2397,GES,2402,Y,0
198,2P,897,MNL,2397,KLO,2430,\N,0
199,2P,897,MNL,2397,LGP,4203,\N,0
200,2P,897,MNL,2397,MPH,2426,\N,0
201,2P,897,MNL,2397,OZC,4204,\N,0
202,2P,897,MNL,2397,PPS,2433,\N,0
203,2P,897,MNL,2397,RXS,6026,\N,0
204,2P,897,MNL,2397,SUG,6016,\N,0
205,2P,897,MNL,2397,TUG,6021,\N,0
206,2P,897,MNL,2397,ZAM,2404,\N,0
207,2P,897,MPH,2426,MNL,2397,\N,0
208,2P,897,OZC,4204,MNL,2397,\N,0
209,2P,897,PPS,2433,MNL,2397,\N,0
210,2P,897,RXS,6026,MNL,2397,\N,0
211,2P,897,SUG,6016,MNL,2397,\N,0
212,2P,897,TUG,6021,MNL,2397,\N,0
213,2P,897,ZAM,2404,MNL,2397,\N,0
214,2Z,1729,AUX,7376,PMW,4214,\N,0
215,2Z,1729,BRA,7373,BSB,2531,\N,0
216,2Z,1729,BRA,7373,SSA,2621,\N,0
217,2Z,1729,BSB,2531,BRA,7373,\N,0
218,2Z,1729,BSB,2531,OPS,7367,\N,0
219,2Z,1729,BSB,2531,RAO,2613,\N,0
220,2Z,1729,CAC,2535,GRU,2564,\N,0
221,2Z,1729,CGB,2548,GYN,2562,\N,0
222,2Z,1729,CGB,2548,OPS,7367,\N,0
223,2Z,1729,CGR,2538,DOU,7380,\N,0
224,2Z,1729,DOU,7380,CGR,2538,\N,0
225,2Z,1729,DOU,7380,GRU,2564,\N,0
226,2Z,1729,GIG,2560,RAO,2613,\N,0
227,2Z,1729,GRU,2564,CAC,2535,\N,0
228,2Z,1729,GRU,2564,DOU,7380,\N,0
229,2Z,1729,GRU,2564,RAO,2613,\N,0
230,2Z,1729,GRU,2564,UBA,2635,\N,0
231,2Z,1729,GRU,2564,UDI,2633,\N,0
232,2Z,1729,GRU,2564,VDC,6039,\N,0
233,2Z,1729,GYN,2562,CGB,2548,\N,0
234,2Z,1729,GYN,2562,PMW,4214,\N,0
235,2Z,1729,GYN,2562,RAO,2613,\N,0
236,2Z,1729,GYN,2562,UDI,2633,\N,0
237,2Z,1729,OPS,7367,BSB,2531,\N,0
238,2Z,1729,OPS,7367,CGB,2548,\N,0
239,2Z,1729,PLU,2528,RAO,2613,\N,0
240,2Z,1729,PMW,4214,AUX,7376,\N,0
241,2Z,1729,PMW,4214,GYN,2562,\N,0
242,2Z,1729,RAO,2613,BSB,2531,\N,0
243,2Z,1729,RAO,2613,GIG,2560,\N,0
244,2Z,1729,RAO,2613,GRU,2564,\N,0
245,2Z,1729,RAO,2613,GYN,2562,\N,0
246,2Z,1729,RAO,2613,PLU,2528,\N,0
247,2Z,1729,RAO,2613,SJP,2619,\N,0
248,2Z,1729,RAO,2613,UDI,2633,\N,0
249,2Z,1729,SJP,2619,RAO,2613,\N,0
250,2Z,1729,SSA,2621,BRA,7373,\N,0
251,2Z,1729,SSA,2621,VDC,6039,\N,0
252,2Z,1729,UBA,2635,GRU,2564,\N,0
253,2Z,1729,UBA,2635,UDI,2633,\N,0
254,2Z,1729,UDI,2633,GRU,2564,\N,0
255,2Z,1729,UDI,2633,GYN,2562,\N,0
256,2Z,1729,UDI,2633,RAO,2613,\N,0
257,2Z,1729,UDI,2633,UBA,2635,\N,0
258,2Z,1729,VDC,6039,GRU,2564,\N,0
259,2Z,1729,VDC,6039,SSA,2621,\N,0
260,3E,10739,BRL,5726,ORD,3830,\N,0
261,3E,10739,BRL,5726,STL,3678,\N,0
262,3E,10739,DEC,4042,ORD,3830,\N,0
263,3E,10739,DEC,4042,STL,3678,\N,0
264,3E,10739,JBR,3591,STL,3678,\N,0
265,3E,10739,ORD,3830,BRL,5726,\N,0
266,3E,10739,ORD,3830,DEC,4042,\N,0
267,3E,10739,STL,3678,BRL,5726,\N,0
268,3E,10739,STL,3678,DEC,4042,\N,0
269,3E,10739,STL,3678,JBR,3591,\N,0
270,3F,16262,CGA,7144,HYL,7145,\N,0
271,3F,16262,CGA,7144,KTN,3808,\N,0
272,3F,16262,HYL,7145,CGA,7144,\N,0
273,3F,16262,HYL,7145,KTB,7147,\N,0
274,3F,16262,HYL,7145,KTN,3808,\N,0
275,3F,16262,KTB,7147,HYL,7145,\N,0
276,3F,16262,KTB,7147,KTN,3808,\N,0
277,3F,16262,KTN,3808,CGA,7144,\N,0
278,3F,16262,KTN,3808,HYL,7145,\N,0
279,3F,16262,KTN,3808,KTB,7147,\N,0
280,3F,16262,KTN,3808,MTM,7146,\N,0
281,3F,16262,MTM,7146,KTN,3808,\N,0
282,3G,595,ACC,248,DKR,1084,\N,0
283,3G,595,ACC,248,LOS,273,\N,0
284,3G,595,ACC,248,ROB,1063,\N,0
285,3G,595,BCN,1218,BJL,1050,\N,0
286,3G,595,BJL,1050,BCN,1218,\N,0
287,3G,595,BJL,1050,DKR,1084,\N,0
288,3G,595,BJL,1050,FNA,1059,\N,0
289,3G,595,CKY,4162,OXB,5665,\N,0
290,3G,595,DKR,1084,ACC,248,\N,0
291,3G,595,DKR,1084,BJL,1050,\N,0
292,3G,595,DKR,1084,DLA,897,\N,0
293,3G,595,DKR,1084,FNA,1059,\N,0
294,3G,595,DKR,1084,LOS,273,\N,0
295,3G,595,DKR,1084,OXB,5665,\N,0
296,3G,595,DLA,897,DKR,1084,\N,0
297,3G,595,DLA,897,LOS,273,\N,0
298,3G,595,FNA,1059,BJL,1050,\N,0
299,3G,595,FNA,1059,DKR,1084,\N,0
300,3G,595,FNA,1059,LGW,502,\N,0
301,3G,595,FNA,1059,ROB,1063,\N,0
302,3G,595,LGW,502,FNA,1059,\N,0
303,3G,595,LOS,273,ACC,248,\N,0
304,3G,595,LOS,273,DKR,1084,\N,0
305,3G,595,LOS,273,DLA,897,\N,0
306,3G,595,LOS,273,ROB,1063,\N,0
307,3G,595,OXB,5665,CKY,4162,\N,0
308,3G,595,OXB,5665,DKR,1084,\N,0
309,3G,595,ROB,1063,ACC,248,\N,0
310,3G,595,ROB,1063,FNA,1059,\N,0
311,3G,595,ROB,1063,LOS,273,\N,0
312,3H,\N,AKV,5506,YIK,5504,\N,0
313,3H,\N,AKV,5506,YPX,6727,\N,0
314,3H,\N,XGR,5512,YVP,154,\N,0
315,3H,\N,YGL,62,YGW,5496,\N,0
316,3H,\N,YGL,62,YPX,6727,\N,0
317,3H,\N,YGL,62,YUL,146,\N,0
318,3H,\N,YGW,5496,YGL,62,\N,0
319,3H,\N,YGW,5496,YPH,5520,\N,0
320,3H,\N,YGW,5496,YSK,5529,\N,0
321,3H,\N,YGW,5496,YUD,5515,\N,0
322,3H,\N,YGW,5496,YUL,146,\N,0
323,3H,\N,YGW,5496,YUY,149,\N,0
324,3H,\N,YIK,5504,AKV,5506,\N,0
325,3H,\N,YIK,5504,YZG,5535,\N,0
326,3H,\N,YKG,5481,YPJ,5508,\N,0
327,3H,\N,YKG,5481,YQC,5499,\N,0
328,3H,\N,YKG,5481,YVP,154,\N,0
329,3H,\N,YKL,80,YQB,111,\N,0
330,3H,\N,YKL,80,YVP,154,\N,0
331,3H,\N,YKL,80,YWK,161,\N,0
332,3H,\N,YKL,80,YZV,202,\N,0
333,3H,\N,YPH,5520,YPX,6727,\N,0
334,3H,\N,YPH,5520,YUD,5515,\N,0
335,3H,\N,YPH,5520,YVP,154,\N,0
336,3H,\N,YPJ,5508,YKG,5481,\N,0
337,3H,\N,YPJ,5508,YTQ,6728,\N,0
338,3H,\N,YPJ,5508,YVP,154,\N,0
339,3H,\N,YPX,6727,AKV,5506,\N,0
340,3H,\N,YPX,6727,YGL,62,\N,0
341,3H,\N,YPX,6727,YPH,5520,\N,0
342,3H,\N,YPX,6727,YVP,154,\N,0
343,3H,\N,YQB,111,YKL,80,\N,0
344,3H,\N,YQB,111,YUL,146,\N,0
345,3H,\N,YQC,5499,YKG,5481,\N,0
346,3H,\N,YQC,5499,YWB,7253,\N,0
347,3H,\N,YSK,5529,YGW,5496,\N,0
348,3H,\N,YSK,5529,YUD,5515,\N,0
349,3H,\N,YTQ,6728,YPJ,5508,\N,0
350,3H,\N,YTQ,6728,YVP,154,\N,0
351,3H,\N,YUD,5515,YGW,5496,\N,0
352,3H,\N,YUD,5515,YPH,5520,\N,0
353,3H,\N,YUD,5515,YSK,5529,\N,0
354,3H,\N,YUL,146,YGL,62,\N,0
355,3H,\N,YUL,146,YGW,5496,\N,0
356,3H,\N,YUL,146,YQB,111,\N,0
357,3H,\N,YUL,146,YUY,149,\N,0
358,3H,\N,YUY,149,YGW,5496,\N,0
359,3H,\N,YUY,149,YUL,146,\N,0
360,3H,\N,YVP,154,XGR,5512,\N,0
361,3H,\N,YVP,154,YGW,5496,\N,0
362,3H,\N,YVP,154,YKG,5481,\N,0
363,3H,\N,YVP,154,YKL,80,\N,0
364,3H,\N,YVP,154,YPH,5520,\N,0
365,3H,\N,YVP,154,YPJ,5508,\N,0
366,3H,\N,YVP,154,YPX,6727,\N,0
367,3H,\N,YVP,154,YTQ,6728,\N,0
368,3H,\N,YWB,7253,YQC,5499,\N,0
369,3H,\N,YWB,7253,YZG,5535,\N,0
370,3H,\N,YWK,161,YKL,80,\N,0
371,3H,\N,YWK,161,YZV,202,\N,0
372,3H,\N,YZG,5535,YIK,5504,\N,0
373,3H,\N,YZG,5535,YWB,7253,\N,0
374,3H,\N,YZV,202,YKL,80,\N,0
375,3H,\N,YZV,202,YWK,161,\N,0
376,3J,5521,JIB,4119,DXB,2188,\N,0
377,3J,5521,JIB,4119,JED,2072,\N,0
378,3J,5521,JIB,4119,MGQ,5687,\N,0
379,3J,5521,MGQ,5687,NBO,4059,\N,0
380,3J,5521,NBO,4059,MGQ,5687,\N,0
381,3K,3021,BKK,3885,SIN,3316,\N,0
382,3K,3021,DRW,3999,SIN,3316,\N,0
383,3K,3021,HAK,4120,SIN,3316,\N,0
384,3K,3021,HGH,3386,SIN,3316,\N,0
385,3K,3021,HKG,3077,SIN,3316,\N,0
386,3K,3021,HKT,3179,SIN,3316,\N,0
387,3K,3021,KIX,3992,MNL,2397,\N,0
388,3K,3021,KIX,3992,TPE,2276,\N,0
389,3K,3021,KUL,3304,SIN,3316,\N,0
390,3K,3021,MNL,2397,KIX,3992,\N,0
391,3K,3021,MNL,2397,SIN,3316,\N,0
392,3K,3021,PEN,3308,SIN,3316,\N,0
393,3K,3021,PER,3351,SIN,3316,\N,0
394,3K,3021,PNH,3034,SIN,3316,\N,0
395,3K,3021,REP,3035,SIN,3316,\N,0
396,3K,3021,RGN,3239,SIN,3316,\N,0
397,3K,3021,SGN,3205,SIN,3316,\N,0
398,3K,3021,SIN,3316,BKK,3885,\N,0
399,3K,3021,SIN,3316,DRW,3999,\N,0
400,3K,3021,SIN,3316,HAK,4120,\N,0
401,3K,3021,SIN,3316,HGH,3386,\N,0
402,3K,3021,SIN,3316,HKG,3077,\N,0
403,3K,3021,SIN,3316,HKT,3179,\N,0
404,3K,3021,SIN,3316,KUL,3304,\N,0
405,3K,3021,SIN,3316,MNL,2397,\N,0
406,3K,3021,SIN,3316,PEN,3308,\N,0
407,3K,3021,SIN,3316,PER,3351,\N,0
408,3K,3021,SIN,3316,PNH,3034,\N,0
409,3K,3021,SIN,3316,REP,3035,\N,0
410,3K,3021,SIN,3316,RGN,3239,\N,0
411,3K,3021,SIN,3316,SGN,3205,\N,0
412,3K,3021,SIN,3316,SWA,4302,\N,0
413,3K,3021,SIN,3316,TPE,2276,\N,0
414,3K,3021,SWA,4302,SIN,3316,\N,0
415,3K,3021,TPE,2276,KIX,3992,\N,0
416,3K,3021,TPE,2276,SIN,3316,\N,0
417,3L,2916,ACH,1679,EBA,1558,\N,0
418,3L,2916,DRS,338,ZRH,1678,\N,0
419,3L,2916,DUS,345,FDH,382,\N,0
420,3L,2916,EBA,1558,ACH,1679,\N,0
421,3L,2916,EBA,1558,FDH,382,\N,0
422,3L,2916,EBA,1558,MUC,346,\N,0
423,3L,2916,EBA,1558,ZRH,1678,\N,0
424,3L,2916,FDH,382,DUS,345,\N,0
425,3L,2916,FDH,382,EBA,1558,\N,0
426,3L,2916,FDH,382,HAM,342,\N,0
427,3L,2916,FDH,382,OLB,1520,\N,0
428,3L,2916,FDH,382,TXL,351,\N,0
429,3L,2916,FDH,382,ZAD,1209,\N,0
430,3L,2916,FMM,3986,NAP,1561,\N,0
431,3L,2916,GRZ,1609,ZRH,1678,\N,0
432,3L,2916,HAM,342,FDH,382,\N,0
433,3L,2916,MUC,346,EBA,1558,\N,0
434,3L,2916,NAP,1561,FMM,3986,\N,0
435,3L,2916,OLB,1520,FDH,382,\N,0
436,3L,2916,SZG,1612,ZRH,1678,\N,0
437,3L,2916,TXL,351,FDH,382,\N,0
438,3L,2916,ZAD,1209,FDH,382,\N,0
439,3L,2916,ZRH,1678,DRS,338,\N,0
440,3L,2916,ZRH,1678,EBA,1558,\N,0
441,3L,2916,ZRH,1678,GRZ,1609,\N,0
442,3L,2916,ZRH,1678,SZG,1612,\N,0
443,3M,20710,ATL,3682,LWB,6958,\N,0
444,3M,20710,ATL,3682,MCN,3754,\N,0
445,3M,20710,ATL,3682,MEI,4335,\N,0
446,3M,20710,ATL,3682,MSL,5756,\N,0
447,3M,20710,ATL,3682,PIB,5759,\N,0
448,3M,20710,ATL,3682,TUP,5773,\N,0
449,3M,20710,BIM,1937,FLL,3533,\N,0
450,3M,20710,ELH,1943,FLL,3533,\N,0
451,3M,20710,ELH,1943,PBI,3722,\N,0
452,3M,20710,EYW,3875,FLL,3533,\N,0
453,3M,20710,EYW,3875,RSW,3793,\N,0
454,3M,20710,EYW,3875,TPA,3646,\N,0
455,3M,20710,FLL,3533,BIM,1937,\N,0
456,3M,20710,FLL,3533,ELH,1943,\N,0
457,3M,20710,FLL,3533,EYW,3875,\N,0
458,3M,20710,FLL,3533,FPO,1948,\N,0
459,3M,20710,FLL,3533,GGT,1941,\N,0
460,3M,20710,FLL,3533,GHB,1944,\N,0
461,3M,20710,FLL,3533,MCO,3878,\N,0
462,3M,20710,FLL,3533,MHH,1930,\N,0
463,3M,20710,FLL,3533,TCB,1934,\N,0
464,3M,20710,FLL,3533,TPA,3646,\N,0
465,3M,20710,FPO,1948,FLL,3533,\N,0
466,3M,20710,GGT,1941,FLL,3533,\N,0
467,3M,20710,GGT,1941,GHB,1944,\N,0
468,3M,20710,GHB,1944,FLL,3533,\N,0
469,3M,20710,GLH,6130,TUP,5773,\N,0
470,3M,20710,GNV,3472,MCO,3878,\N,0
471,3M,20710,GNV,3472,TPA,3646,\N,0
472,3M,20710,JAX,3712,MHH,1930,\N,0
473,3M,20710,JAX,3712,TPA,3646,\N,0
474,3M,20710,LWB,6958,ATL,3682,\N,0
475,3M,20710,MCN,3754,ATL,3682,\N,0
